legacy_id,name,page_count,candidate_languages,candidate_types,final_type,status,decision_rule,categories,notes
1,Sincap Kiki,10,tr,STORY,STORY,MATCHED,page_count_gt_1_story,tr:Sevimli Dostlarımız🐕🐅🐎🐼|tr:Seçimli Hikayeler,
2,Pera Panayırda,9,,,STORY,LIKELY,page_count_gt_1_story,,
4,Kayıp Ayçiçeği,14,,,STORY,LIKELY,page_count_gt_1_story,,
5,Cici,12,,,STORY,LIKELY,page_count_gt_1_story,,
6,Liya'nın Doğum Günü,13,,,STORY,LIKELY,page_count_gt_1_story,,
8,Mırmır'ın Keki,11,,,STORY,LIKELY,page_count_gt_1_story,,
9,Sınıfımızdaki Gizemli,13,,,STORY,LIKELY,page_count_gt_1_story,,
10,Haberci Nota,14,tr,STORY,STORY,MATCHED,page_count_gt_1_story,tr:Ebeveynlerin Favorileri ❤️|tr:Seri Hikayeler 🧭|tr:Çocukların Favorileri 🙌|tr:Şarkılarla Hikayeler 🎶,
12,Kaybolan Ayakkabılarım,15,,,STORY,LIKELY,page_count_gt_1_story,,
13,En Güzel Hediyem,14,,,STORY,LIKELY,page_count_gt_1_story,,
14,Sihirbaz Parla,13,,,STORY,LIKELY,page_count_gt_1_story,,
15,Nota ve Mevsimler,12,tr,STORY,STORY,MATCHED,page_count_gt_1_story,tr:Ebeveynlerin Favorileri ❤️|tr:Seri Hikayeler 🧭|tr:Şarkılarla Hikayeler 🎶,
16,Cumhuriyet ve Ben,15,,,STORY,LIKELY,page_count_gt_1_story,,
17,Sakar Tilki,16,tr,STORY,STORY,MATCHED,page_count_gt_1_story,tr:Aile ve Arkadaşlık 🤗|tr:Duygusal Farkındalık ✨|tr:Sevimli Dostlarımız🐕🐅🐎🐼,
18,Televizyondaki Karıncalar,16,,,STORY,LIKELY,page_count_gt_1_story,,
19,Dedemin Karnındaki Zil,9,,,STORY,LIKELY,page_count_gt_1_story,,
20,Dinoco Nerede,19,,,STORY,LIKELY,page_count_gt_1_story,,
21,Dinozor Müzesi,10,,,STORY,LIKELY,page_count_gt_1_story,,
22,Ormanın Renkleri,19,tr,STORY,STORY,MATCHED,page_count_gt_1_story,tr:Aile ve Arkadaşlık 🤗|tr:Doğa ve Keşif💚🏕️🌿🌲🌳☘️|tr:Problem Çözme Becerisi 🎯|tr:Şarkılarla Hikayeler 🎶,
23,Egemen Araba Yarışında,19,,,STORY,LIKELY,page_count_gt_1_story,,
24,Nota ve Günler,14,,,STORY,LIKELY,page_count_gt_1_story,,
25,My Lost Shoes,15,,,STORY,LIKELY,page_count_gt_1_story,,
26,My Most Beautiful Gift,14,,,STORY,LIKELY,page_count_gt_1_story,,
27,Dinosaur Museum,10,,,STORY,LIKELY,page_count_gt_1_story,,
28,x1,11,,,STORY,LIKELY,page_count_gt_1_story,,
29,x2,15,,,STORY,LIKELY,page_count_gt_1_story,,
