source_drive_id,source_title,canonical_key,asset_role,language,target_content_folder,target_subfolder,target_file_id,status,message
1NmTDxmhPnrO_Qt-L2DJ9uFiEd-WtQo2X,dinoco_nerede.docx,story-dinoco-nerede,text,en,STORY-story-dinoco-nerede-dinoco-nerede,01_localizations/en/texts,1Ifb44vWDamhsyy1x8WMCJ2NOi7yUIXT3,COPIED,
1w1q_ZommEevjvCwBI9B-jgRiydSGhYeP,egemen_araba_yarisinda.docx,story-egemen-araba-yar-s-nda,text,en,STORY-story-egemen-araba-yar-s-nda-egemen-araba-yar-s-nda,01_localizations/en/texts,1QOQRTjwsjpvF8Y9gYQEKHBYvJaBwcnV5,COPIED,
1nneuSeMJ9q7QP9NxPz9Q6hr50Yl-2VyV,1.mp3,story-egemen-araba-yar-s-nda,revision,en,STORY-story-egemen-araba-yar-s-nda-egemen-araba-yar-s-nda,03_revisions,1aU5z9wJ94vRQkflmpNpTg-zeQoJiPIn8,COPIED,
1eQXIFswDgplf0ZhrMqj04grPspRHFEu5,10.mp3,story-egemen-araba-yar-s-nda,revision,en,STORY-story-egemen-araba-yar-s-nda-egemen-araba-yar-s-nda,03_revisions,184Befd7ET2ebR2FRP584L1BffMk0uebn,COPIED,
1CxCij9bxCo0j6GvSJScrYfD_w1Q-kdBz,3.mp3,story-egemen-araba-yar-s-nda,revision,en,STORY-story-egemen-araba-yar-s-nda-egemen-araba-yar-s-nda,03_revisions,1Av0jE2m1Om_6UmIuGztNnApkJD0Wrh8x,COPIED,
1tazi2DJSNc6SBHydZZAMqReTGSZAzE2v,2.mp3,story-egemen-araba-yar-s-nda,revision,en,STORY-story-egemen-araba-yar-s-nda-egemen-araba-yar-s-nda,03_revisions,1DF5dj4YcRzJ50SjRnNv5zbLCj9G2UKvJ,COPIED,
1w5NIXwfsdrVQOE3Fqn7yJWFisLRlCnVQ,16.mp3,story-egemen-araba-yar-s-nda,revision,en,STORY-story-egemen-araba-yar-s-nda-egemen-araba-yar-s-nda,03_revisions,1EXXyAHV0NErOk_hO_liU3nPjiqOzRGB8,COPIED,
1vpnKT-4tvSh95AVrtR_GgNxFw4WLv17t,5.mp3,story-egemen-araba-yar-s-nda,revision,en,STORY-story-egemen-araba-yar-s-nda-egemen-araba-yar-s-nda,03_revisions,1tru0ce-SiTgS0SsXmQSyYLokauVhPHeT,COPIED,
1ds2MIGVaNdJUwpzYcGWot8MAq4kmLVUN,4.mp3,story-egemen-araba-yar-s-nda,revision,en,STORY-story-egemen-araba-yar-s-nda-egemen-araba-yar-s-nda,03_revisions,1Tp26f8bIw5HxL9XrPeWLiKaXrq9PCh8X,COPIED,
1Za1jc1oqU0Qnv2nmYSXrp_Y0B1qltyAF,9.mp3,story-egemen-araba-yar-s-nda,revision,en,STORY-story-egemen-araba-yar-s-nda-egemen-araba-yar-s-nda,03_revisions,1_shxZ1Pk4_GPm5SXlRf1Ug6nMxC4KPq9,COPIED,
1L-RkCX-LdXvFDSZycgyM2Iu5NFMkUQNl,8.mp3,story-egemen-araba-yar-s-nda,revision,en,STORY-story-egemen-araba-yar-s-nda-egemen-araba-yar-s-nda,03_revisions,18FGDbMeUqC1AlG648rNIuJ_t3vdZPFbT,COPIED,
164Pq-E54gcQ5eE5tcx3J76ZDCDrTjlhh,7.mp3,story-egemen-araba-yar-s-nda,revision,en,STORY-story-egemen-araba-yar-s-nda-egemen-araba-yar-s-nda,03_revisions,1dPyQ83Ht3GOb9npjGvCWAXIp9yF6R9I4,COPIED,
1rF7ujIx2XUBxM-ZZDPJBmkJ8E63DS65W,15.mp3,story-egemen-araba-yar-s-nda,revision,en,STORY-story-egemen-araba-yar-s-nda-egemen-araba-yar-s-nda,03_revisions,1MuD6WjJoAJwtZMSd6hRj4eSzltDekIwg,COPIED,
1PrRo7rdxnfEjlTxYRgBCpQd2bWo-r_79,11.mp3,story-egemen-araba-yar-s-nda,revision,en,STORY-story-egemen-araba-yar-s-nda-egemen-araba-yar-s-nda,03_revisions,1kCxqTjdjXIYMjq6DNn7XIhwe4qW6WUgX,COPIED,
17MP1icq0WY5Xigx45GpYsohfrfbgLmCs,13.mp3,story-egemen-araba-yar-s-nda,revision,en,STORY-story-egemen-araba-yar-s-nda-egemen-araba-yar-s-nda,03_revisions,1a-YCYS19rjpY6UZBYR5kGq2uKbh1MFJ7,COPIED,
1vMb_AetjMN-gGujyLiRMM2udL3Buc-VM,19.mp3,story-egemen-araba-yar-s-nda,revision,en,STORY-story-egemen-araba-yar-s-nda-egemen-araba-yar-s-nda,03_revisions,1wI8OYC_mu87WVY9A2d6bXp2IQIxF4QNT,COPIED,
1Vv-XkbDbs4TUY2-AKH7eAh0I1mp0l1pn,6.mp3,story-egemen-araba-yar-s-nda,revision,en,STORY-story-egemen-araba-yar-s-nda-egemen-araba-yar-s-nda,03_revisions,1J7C0DMhjrBPlBZ-xd7dgnTwDkoLwv1F-,COPIED,
