source_drive_id,source_title,source_path,mime_type,target_file_id,target_relative_folder,status,message
1xdXvjeB-yndcQNapnW-XxXHy6TbWCOW2,Haberci Nota 1.wav,TELLPAL-ORTAK/!!!! BİTEN HİKAYELER (TR-ENG) --> TÜM SÜREÇLERİ BİTENLERİ BURAYA KOYUN/YAYINLANAN HİKAYELER/Haberci Nota-SES REVİZE/Haberci Nota Revize /Haberci Nota 1.wav,audio/x-wav,1W3r9N9mHGH5zzWMTcZs3N_UGJh4jgRBt,Haberci Nota/!!!! BİTEN HİKAYELER (TR-ENG) --> TÜM SÜREÇLERİ BİTENLERİ BURAYA KOYUN/YAYINLANAN HİKAYELER/Haberci Nota-SES REVİZE/Haberci Nota Revize ,COPIED,
1c0jrPIfpQ9uc4FYJyH1Yux2SlsSXsF3y,Haberci Nota-görsel.zip,TELLPAL-ORTAK/!!!! BİTEN HİKAYELER (TR-ENG) --> TÜM SÜREÇLERİ BİTENLERİ BURAYA KOYUN/YAYINLANAN HİKAYELER/Haberci Nota-SESLENDİRMESİ GELECEK/Haberci Nota-görsel.zip,application/zip,1nu3SMtupOtbqvtg1FU9fHhRjOjP8C9Ef,Haberci Nota/!!!! BİTEN HİKAYELER (TR-ENG) --> TÜM SÜREÇLERİ BİTENLERİ BURAYA KOYUN/YAYINLANAN HİKAYELER/Haberci Nota-SESLENDİRMESİ GELECEK,COPIED,
1MPptIIk3Ifp0AI8kJyw34XQ8Cpj4K8Hr,Haberci Nota.docx,TELLPAL-ORTAK/!!!! BİTEN HİKAYELER (TR-ENG) --> TÜM SÜREÇLERİ BİTENLERİ BURAYA KOYUN/YAYINLANAN HİKAYELER/Haberci Nota-SESLENDİRMESİ GELECEK/Haberci Nota.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1RYLokajTIlM4qN-V1dOXjKMQJP7jqS5M,Haberci Nota/!!!! BİTEN HİKAYELER (TR-ENG) --> TÜM SÜREÇLERİ BİTENLERİ BURAYA KOYUN/YAYINLANAN HİKAYELER/Haberci Nota-SESLENDİRMESİ GELECEK,COPIED,
15KKodMTi6IxyjOFYfZL-HtODcPa_t_pw,Haberci Nota.xmind,TELLPAL-ORTAK/!!!! BİTEN HİKAYELER (TR-ENG) --> TÜM SÜREÇLERİ BİTENLERİ BURAYA KOYUN/YAYINLANAN HİKAYELER/Haberci Nota-SESLENDİRMESİ GELECEK/Haberci Nota.xmind,application/x-zip,1ppXmRmwi2P6xvHJ3MBXp08C6UBgU5Pqj,Haberci Nota/!!!! BİTEN HİKAYELER (TR-ENG) --> TÜM SÜREÇLERİ BİTENLERİ BURAYA KOYUN/YAYINLANAN HİKAYELER/Haberci Nota-SESLENDİRMESİ GELECEK,COPIED,
1hhfKhGnJhPPl0_eRod6-OENtVf2z_tlq,Haberci_nota-Büşra full kayıt.mp3,TELLPAL-ORTAK/!!!! BİTEN HİKAYELER (TR-ENG) --> TÜM SÜREÇLERİ BİTENLERİ BURAYA KOYUN/YAYINLANAN HİKAYELER/Haberci Nota-SESLENDİRMESİ GELECEK/Haberci_nota-Büşra full kayıt.mp3,audio/mpeg,12cpjHvd-cYTsb0-gNzl4yf4CcgygFL-f,Haberci Nota/!!!! BİTEN HİKAYELER (TR-ENG) --> TÜM SÜREÇLERİ BİTENLERİ BURAYA KOYUN/YAYINLANAN HİKAYELER/Haberci Nota-SESLENDİRMESİ GELECEK,COPIED,
1d0koxnAzWADhHlQS5NEUwmT4r8t63IHZ,Melody - A Pardal Mensageira Recording - Final Version (Mariana Sayuri).wav adlı dosyanın kopyası,TELLPAL-ORTAK/***Portekizce- BİTEN HİKAYELER***/Haberci Nota (PR)/Melody - A Pardal Mensageira Recording - Final Version (Mariana Sayuri).wav adlı dosyanın kopyası,audio/wav,1D5jAYq8gbjxN7Enawkl6lBwaL2Bm4ihq,Haberci Nota/***Portekizce- BİTEN HİKAYELER***/Haberci Nota (PR),COPIED,
1tXwWbB8NfZEjLzfO04cpfsjSl0h--0sA,Melody - A Pardal Mensageira Translation (Horieber Oliveira) (1).docx,TELLPAL-ORTAK/***Portekizce- BİTEN HİKAYELER***/Haberci Nota (PR)/Melody - A Pardal Mensageira Translation (Horieber Oliveira) (1).docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1xfPIafLPnkIQgE72R_9U5dmTzP0ezrSl,Haberci Nota/***Portekizce- BİTEN HİKAYELER***/Haberci Nota (PR),COPIED,
1BvwGHw_BRtVMCLNASSOvU74CewwRUvFx,Melody - A Pardal Mensageira-GÖRSELLER.zip,TELLPAL-ORTAK/***Portekizce- BİTEN HİKAYELER***/Haberci Nota (PR)/Melody - A Pardal Mensageira-GÖRSELLER.zip,application/x-zip-compressed,1_viGIAQaU1CUylOv1b1V01s0fIXA6GJ7,Haberci Nota/***Portekizce- BİTEN HİKAYELER***/Haberci Nota (PR),COPIED,
1BvX9m8r9MYdEgTiTdicTShYBlwR0cM8q,Melody - A Pardal Mensageira-SESLENDİRME BÖLÜNMÜŞ.tgz,TELLPAL-ORTAK/***Portekizce- BİTEN HİKAYELER***/Haberci Nota (PR)/Melody - A Pardal Mensageira-SESLENDİRME BÖLÜNMÜŞ.tgz,application/x-compressed,19Di5R2eF0pAVkYQrA_gjNLsqOV0qdmP7,Haberci Nota/***Portekizce- BİTEN HİKAYELER***/Haberci Nota (PR),COPIED,
1onT9mwAuVagFc6fDX5LS0V0MhcAaC6Zq,14.jpg adlı dosyanın kopyası,TELLPAL-ORTAK/***Portekizce- BİTEN HİKAYELER***/REVİZE DOSYALARI/Tamamlanan Revizeler/Haberci Nota - GÖRSELLER Revize/14.jpg adlı dosyanın kopyası,image/jpeg,1Xu5rx0qnCOcXrPQ5sYqVXlRvqEQDk_-z,Haberci Nota/***Portekizce- BİTEN HİKAYELER***/REVİZE DOSYALARI/Tamamlanan Revizeler/Haberci Nota - GÖRSELLER Revize,COPIED,
