legacy_id,name,content_type,canonical_key,status,score,asset_role,drive_id,drive_title,drive_path,mime_type,modified_time,url
1,Sincap Kiki,STORY,story-sincap-kiki,MISSING,0,,,,,,,
2,Pera Panayırda,STORY,story-pera-panay-rda,MISSING,0,,,,,,,
4,Kayıp Ayçiçeği,STORY,story-kay-p-aycicegi,MISSING,0,,,,,,,
5,Cici,STORY,story-cici,MISSING,0,,,,,,,
6,Liya'nın Doğum Günü,STORY,story-liya-n-n-dogum-gunu,MISSING,0,,,,,,,
8,Mırmır'ın Keki,STORY,story-m-rm-r-n-keki,LIKELY,70,illustration,1GoJsLfsjaah3saTHD6D6aKGSirn5Thbw,mırmırın keki.zip,TELLPAL-ORTAK/DİLAN- Çizimler/mırmırın keki.zip,application/x-zip-compressed,2023-12-15T12:40:05.000Z,https://drive.google.com/file/d/1GoJsLfsjaah3saTHD6D6aKGSirn5Thbw/view?usp=drivesdk
9,Sınıfımızdaki Gizemli,STORY,story-s-n-f-m-zdaki-gizemli,MISSING,0,,,,,,,
10,Haberci Nota,STORY,story-haberci-nota,LIKELY,100,textless,1iRepHmMxBuQS_ZxTAUuX7S4xE21Dt4a0,Haberci Nota,TELLPAL-ORTAK/***YAZISIZ ÇİZİMLER***/Haberci Nota,application/vnd.google-apps.folder,2024-08-08T15:46:34.224Z,https://drive.google.com/drive/folders/1iRepHmMxBuQS_ZxTAUuX7S4xE21Dt4a0
10,Haberci Nota,STORY,story-haberci-nota,LIKELY,100,audio,18xBs2iWYtjNiw92jSyEFvxe0qvWqGxs6,Haberci Nota,TELLPAL-ORTAK/TELLPAL- PELİN AYGÜN- SESLENDİRME/Haberci Nota,application/vnd.google-apps.folder,2024-03-08T11:53:30.148Z,https://drive.google.com/drive/folders/18xBs2iWYtjNiw92jSyEFvxe0qvWqGxs6
10,Haberci Nota,STORY,story-haberci-nota,LIKELY,100,audio,1mLtWQ080jEnpR3dV-S1f9_Af8-lr8Yzv,Haberci Nota,TELLPAL-ORTAK/TELLPAL - BÜŞRA LÜLECİ SESLENDİRME/Bitenler/Haberci Nota,application/vnd.google-apps.folder,2024-02-22T21:00:29.867Z,https://drive.google.com/drive/folders/1mLtWQ080jEnpR3dV-S1f9_Af8-lr8Yzv
10,Haberci Nota,STORY,story-haberci-nota,CANDIDATE,95,textless,11985Ge6vcD_YAw2q8qtDjoY269ABlVeu,10.jpg,TELLPAL-ORTAK/***YAZISIZ ÇİZİMLER***/Haberci Nota/10.jpg,image/jpeg,2024-08-08T14:14:20.000Z,https://drive.google.com/file/d/11985Ge6vcD_YAw2q8qtDjoY269ABlVeu/view?usp=drivesdk
10,Haberci Nota,STORY,story-haberci-nota,CANDIDATE,95,illustration,1h0mOIl8TLOFuZ4ArkDUSZ_MKWwLOZv7g,10.jpg,TELLPAL-ORTAK/Portekizce - ÇİZİMLER Metinli/Melody - A Pardal Mensageir-Haberci Nota/10.jpg,image/jpeg,2024-08-15T09:18:24.000Z,https://drive.google.com/file/d/1h0mOIl8TLOFuZ4ArkDUSZ_MKWwLOZv7g/view?usp=drivesdk
10,Haberci Nota,STORY,story-haberci-nota,CANDIDATE,95,illustration,1OQcG5oPHCoel6zEIDuxb0cdArqpAyeUQ,10.jpg,TELLPAL-ORTAK/**TELLPAL- ALMANCA İÇERİKLER/SESLENDİRME ve GÖRSEL EKLE -Nota Haberci Güvercin (GERMAN)/haberci nota-ALMANCA GÖRSELLER/10.jpg,image/jpeg,2025-10-17T10:18:55.000Z,https://drive.google.com/file/d/1OQcG5oPHCoel6zEIDuxb0cdArqpAyeUQ/view?usp=drivesdk
10,Haberci Nota,STORY,story-haberci-nota,CANDIDATE,85,text,1N0shav0KJp03wFpdJt6pcuvaSbQSpoil,Haberci Nota (PR),TELLPAL-ORTAK/***Portekizce- BİTEN HİKAYELER***/Haberci Nota (PR),application/vnd.google-apps.folder,2024-08-15T19:38:06.772Z,https://drive.google.com/drive/folders/1N0shav0KJp03wFpdJt6pcuvaSbQSpoil
10,Haberci Nota,STORY,story-haberci-nota,CANDIDATE,85,revision,1WzKvghv9IPwFpACifNTBfcR5NTMBm1ao,Haberci nota revize,TELLPAL-ORTAK/GONCA- Çizimler/Haberci nota revize,application/vnd.google-apps.folder,2023-12-25T10:40:38.521Z,https://drive.google.com/drive/folders/1WzKvghv9IPwFpACifNTBfcR5NTMBm1ao
10,Haberci Nota,STORY,story-haberci-nota,CANDIDATE,85,illustration,1TqBdn7bXTuMt0QI997_xfFbkBNqnsvGy,Haberci Nota.zip,TELLPAL-ORTAK/GONCA- Çizimler/Haberci Nota.zip,application/zip,2023-12-20T13:11:13.271Z,https://drive.google.com/file/d/1TqBdn7bXTuMt0QI997_xfFbkBNqnsvGy/view?usp=drivesdk
10,Haberci Nota,STORY,story-haberci-nota,CANDIDATE,85,illustration,1-AnF7OBdqdMprA9OJFIrYdP7NL7tX91N,Melody - A Pardal Mensageir-Haberci Nota,TELLPAL-ORTAK/Portekizce - ÇİZİMLER Metinli/Melody - A Pardal Mensageir-Haberci Nota,application/vnd.google-apps.folder,2024-09-04T17:41:18.912Z,https://drive.google.com/drive/folders/1-AnF7OBdqdMprA9OJFIrYdP7NL7tX91N
12,Kaybolan Ayakkabılarım,STORY,story-kaybolan-ayakkab-lar-m,MISSING,0,,,,,,,
13,En Güzel Hediyem,STORY,story-en-guzel-hediyem,MISSING,0,,,,,,,
14,Sihirbaz Parla,STORY,story-sihirbaz-parla,MISSING,0,,,,,,,
15,Nota ve Mevsimler,STORY,story-nota-ve-mevsimler,LIKELY,100,textless,11Z_IzF7E6ldOYMhAEZI6wwuvnUiCY4aA,nota ve mevsimler,TELLPAL-ORTAK/***YAZISIZ ÇİZİMLER***/nota ve mevsimler,application/vnd.google-apps.folder,2024-08-02T15:36:22.105Z,https://drive.google.com/drive/folders/11Z_IzF7E6ldOYMhAEZI6wwuvnUiCY4aA
