source_drive_id,source_title,source_path,mime_type,target_file_id,target_relative_folder,status,message
1aXwUBCtUgaNQ6qD38VOr2NskKKz8JO8S,Talkative Birdie-GÖRSELLER.zip,TELLPAL-ORTAK/!!!! BİTEN HİKAYELER (TR-ENG) --> TÜM SÜREÇLERİ BİTENLERİ BURAYA KOYUN/YAYINLANAN HİKAYELER/Talkative Birdie/Talkative Birdie-GÖRSELLER.zip,application/zip,1Ixb-tgddoWvKexgju-Zy-jgc7PRybamO,en/!!!! BİTEN HİKAYELER (TR-ENG) --> TÜM SÜREÇLERİ BİTENLERİ BURAYA KOYUN/YAYINLANAN HİKAYELER/Talkative Birdie,COPIED,
1_uhwEdHcOJUX5b9UMwCwO-ZJIX8DWmTn,1.wav,TELLPAL-ORTAK/!!!! BİTEN HİKAYELER (TR-ENG) --> TÜM SÜREÇLERİ BİTENLERİ BURAYA KOYUN/YAYINLANAN HİKAYELER/Talkative Birdie/Talkative Birdie-Seslendirme- wav'dan mp3'e dönecek/1.wav,audio/wav,1Z7G_qyCTNBBjEGLyLFA3D-c5mZP5GL8z,en/!!!! BİTEN HİKAYELER (TR-ENG) --> TÜM SÜREÇLERİ BİTENLERİ BURAYA KOYUN/YAYINLANAN HİKAYELER/Talkative Birdie/Talkative Birdie-Seslendirme- wav'dan mp3'e dönecek,COPIED,
1i4_5D0TVVcmNsHbIXJlMCaNijyp89VEy,10.wav,TELLPAL-ORTAK/!!!! BİTEN HİKAYELER (TR-ENG) --> TÜM SÜREÇLERİ BİTENLERİ BURAYA KOYUN/YAYINLANAN HİKAYELER/Talkative Birdie/Talkative Birdie-Seslendirme- wav'dan mp3'e dönecek/10.wav,audio/wav,1-xxVSzcktyqV73t0JSun9ZpVRoAoc1ul,en/!!!! BİTEN HİKAYELER (TR-ENG) --> TÜM SÜREÇLERİ BİTENLERİ BURAYA KOYUN/YAYINLANAN HİKAYELER/Talkative Birdie/Talkative Birdie-Seslendirme- wav'dan mp3'e dönecek,COPIED,
1ZzQmgT9pyX4EBeM9bNmlAc36JqcYRWgn,11.wav,TELLPAL-ORTAK/!!!! BİTEN HİKAYELER (TR-ENG) --> TÜM SÜREÇLERİ BİTENLERİ BURAYA KOYUN/YAYINLANAN HİKAYELER/Talkative Birdie/Talkative Birdie-Seslendirme- wav'dan mp3'e dönecek/11.wav,audio/wav,1MIWbTDd7HU3uT4JolcZVCEcTTgejDcwB,en/!!!! BİTEN HİKAYELER (TR-ENG) --> TÜM SÜREÇLERİ BİTENLERİ BURAYA KOYUN/YAYINLANAN HİKAYELER/Talkative Birdie/Talkative Birdie-Seslendirme- wav'dan mp3'e dönecek,COPIED,
1Ll1S1pY2BF44ILWctIhZVG6fI3c_duIM,12.wav,TELLPAL-ORTAK/!!!! BİTEN HİKAYELER (TR-ENG) --> TÜM SÜREÇLERİ BİTENLERİ BURAYA KOYUN/YAYINLANAN HİKAYELER/Talkative Birdie/Talkative Birdie-Seslendirme- wav'dan mp3'e dönecek/12.wav,audio/wav,1xyjT9m24-vfdTcoBLy6L3PqIZGlG63wq,en/!!!! BİTEN HİKAYELER (TR-ENG) --> TÜM SÜREÇLERİ BİTENLERİ BURAYA KOYUN/YAYINLANAN HİKAYELER/Talkative Birdie/Talkative Birdie-Seslendirme- wav'dan mp3'e dönecek,COPIED,
1fbuI1NgTFBltnzqEJKrl2m6i-sSD7rcd,13.wav,TELLPAL-ORTAK/!!!! BİTEN HİKAYELER (TR-ENG) --> TÜM SÜREÇLERİ BİTENLERİ BURAYA KOYUN/YAYINLANAN HİKAYELER/Talkative Birdie/Talkative Birdie-Seslendirme- wav'dan mp3'e dönecek/13.wav,audio/wav,1YQ_NylVfF7JtuRx6DXTyGBuF4wFfK-WB,en/!!!! BİTEN HİKAYELER (TR-ENG) --> TÜM SÜREÇLERİ BİTENLERİ BURAYA KOYUN/YAYINLANAN HİKAYELER/Talkative Birdie/Talkative Birdie-Seslendirme- wav'dan mp3'e dönecek,COPIED,
1Gg8aLX77xiHl9Xk8iOmjK-WWW3-HLodz,14.wav,TELLPAL-ORTAK/!!!! BİTEN HİKAYELER (TR-ENG) --> TÜM SÜREÇLERİ BİTENLERİ BURAYA KOYUN/YAYINLANAN HİKAYELER/Talkative Birdie/Talkative Birdie-Seslendirme- wav'dan mp3'e dönecek/14.wav,audio/wav,1173sDLE4UKOrMe4wouTESamdbC9Uslg7,en/!!!! BİTEN HİKAYELER (TR-ENG) --> TÜM SÜREÇLERİ BİTENLERİ BURAYA KOYUN/YAYINLANAN HİKAYELER/Talkative Birdie/Talkative Birdie-Seslendirme- wav'dan mp3'e dönecek,COPIED,
1QXTF24ezMNvt75Hav3DcR6bpXBnhJpxC,15.wav,TELLPAL-ORTAK/!!!! BİTEN HİKAYELER (TR-ENG) --> TÜM SÜREÇLERİ BİTENLERİ BURAYA KOYUN/YAYINLANAN HİKAYELER/Talkative Birdie/Talkative Birdie-Seslendirme- wav'dan mp3'e dönecek/15.wav,audio/wav,1NA3xYohXJZC5Waax-qQXYWtM-BXi32Xl,en/!!!! BİTEN HİKAYELER (TR-ENG) --> TÜM SÜREÇLERİ BİTENLERİ BURAYA KOYUN/YAYINLANAN HİKAYELER/Talkative Birdie/Talkative Birdie-Seslendirme- wav'dan mp3'e dönecek,COPIED,
1SKs1QKE3tFx1q6uHXtAL6ptQ0ww4zBMQ,16.wav,TELLPAL-ORTAK/!!!! BİTEN HİKAYELER (TR-ENG) --> TÜM SÜREÇLERİ BİTENLERİ BURAYA KOYUN/YAYINLANAN HİKAYELER/Talkative Birdie/Talkative Birdie-Seslendirme- wav'dan mp3'e dönecek/16.wav,audio/wav,1HeA_16mAsd1JkDPKvYzLHobl3jLu4U1A,en/!!!! BİTEN HİKAYELER (TR-ENG) --> TÜM SÜREÇLERİ BİTENLERİ BURAYA KOYUN/YAYINLANAN HİKAYELER/Talkative Birdie/Talkative Birdie-Seslendirme- wav'dan mp3'e dönecek,COPIED,
1XlMxmr0fyvOZn5r3Kqj8-i2VH3xapDSB,17.wav,TELLPAL-ORTAK/!!!! BİTEN HİKAYELER (TR-ENG) --> TÜM SÜREÇLERİ BİTENLERİ BURAYA KOYUN/YAYINLANAN HİKAYELER/Talkative Birdie/Talkative Birdie-Seslendirme- wav'dan mp3'e dönecek/17.wav,audio/wav,1UK_RkRL1s5PhBxjoxlxWyo3BjEIQd1ma,en/!!!! BİTEN HİKAYELER (TR-ENG) --> TÜM SÜREÇLERİ BİTENLERİ BURAYA KOYUN/YAYINLANAN HİKAYELER/Talkative Birdie/Talkative Birdie-Seslendirme- wav'dan mp3'e dönecek,COPIED,
